,reviewContent,flagged
3839,"I have to admit that I was pretty stoked about my stay here after reading all of the reviews. I'm a sucker for a great hotel. Check-in was a breeze, although I'm really not a fan of the whole ""let's put your whole stay on hold on your credit card when you get here to cover incidentals"" policy. That certainly isn't fun for those of us on strict budgets, although I guess that's not the typical patron at the Dana. I absolutely LOVED the mosaic behind the check in desk, and would kind of like it for my apartment, please. Thank you. My stay at the Dana (for 5 whole nights) was overall a pleasure. Todd, the bartender downstairs, took great care of us on a VERY regular basis and would whip my Hendrick's and tonic up without having to ask. God, I loved that bar. Comfortable seating, free tasty fried wontons, and Hendrick's gin. Love. Who cares if it's $10 a cocktail, right? My room was a study in form over function. The desk space was great and I used it often. The bed was comfortable, although it didn't hold a candle to the palatial heavenly beds at the Westin. My main beef was with the bathroom. As others have mentioned, the shower is all glass and opens up to your room, which is fine for those of us who travel solo. Just have to put the blinds down, and as someone who loves to live by natural light, that became a pain. The other side of the shower has NOTHING. No door, no glass, so you're just open to the bathroom, resulting in water flying everywhere. Maybe I'm just a really sloppy shower-er, but I felt really bad for housekeeping who had to deal with my sopping wet bathmat. It also led to things getting pretty drafty, which I could  imagine being a serious issue come cold Chicago winter. Finally, the rain-style showerhead. I know these are all the rage, but I don't like them. As someone who doesn't wash my hair every day (but still likes to shower) it provides some difficulty. Sure, they've still got the handheld thing, but who the hell wants to use that? Plus, it added even more to the mess beyond the shower walls. It wasn't pretty. Finally, be sure not to get a room across from the elevator (rooms that end in 08 or 10). You will here the dinging all.night.long. Not to mention all the folks that chat it up while waiting for the lift to arrive. Not fun if you like extreme peace and quiet. Would I come back to the Dana? Sure, as long as work is paying or I get an insane deal. Otherwise you can find me on a friend's couch or at the Days Inn in the 'burbs.",N
2162,"I had never had occasion to stay in a hotel in Chicago before, so this was an unusual occasion.  The ICH turned out to be one of the nicest places I've ever stayed in (Hotel Indigo in Asheville, NC still takes the cake). Our room was in the older of the hotel's two towers, the one that used to house the Medina Athletic Club.  The room was on the 25th floor, and had great views up and down Michigan Avenue and out to the west. The Room itself was very spacious, and the bathroom was enormous, with a separate shower and bath. We got brunch in the hotel restaurant, and the buffet was off the chain in terms of quality and selection.  It was also priced accordingly . . . The topper, though, was the fitness facility housed in the hotel.  You have not only the gorgeous and historic swimming pool, but a full complement of cardio and weight equipment.  And the dry sauna was delightfully hot. On the down side (and hence the missing star), this place nickels and dimes you on things like internet.  I've heard not-so-great things about the promptness of their room service, but, almost needless to say, we did not order room service.  (At $18 for a ""Maxwell street polish sausage,"" can you blame us?)",N
3294,"The Hard Rock Hotel is in the landmark Carbide and Carbon Building on Michigan Avenue, not too far from Millennium Park. Within its subtly colorful exteriors are very hip interiors, and it is home to the expensive China Grill restaurant.",N
890,"The Hotel Burnham lets you step back into a bit of 19th century old world charm while still providing some of the more modern conveniences. The restoration job Kimpton has done on Daniel Burnham's 1895 predecessor to today's skyscraper is truly wonderful. I was much happier staying at this little boutique hotel this past week on my business trip than one of the other big name neighbors. Its ideally located to all that the Loop offers. If given a choice - I'll be back here again when staying in Chicago. From the moment you walk into the dark wood reception area with its quaint little sitting area, you are greeted by smiling faces eager to make your stay a success. Like most other Kimpton properties they offer an evening wine reception and have a generous pet policy. It pays to be a member of their Kimpton In Touch program (free) as you get free internet access, $10 mini-bar credit and free continental breakfast in the restaurant downstairs. A couple of tips for this particular location: - You will get an actual key to your room. At first I loved concept this antiquated concept, hearkening back to a simpler time. But after a week of the key jingling in my pocket and trying not to lose the darn thing - I think I'd rather leave this part of history behind and have the added security of modern key cards. - There aren't hairdryers in the rooms (at least in mine) but they will bring one up to you. - Rooms are a little small. Try to get at least a queen or king room - at 5.4 my footsies were hanging off the double bed unless I scrunched all the way up on my pillows. Issue solved by sleeping diagonally - but the larger bed would have been nice. - Request an upper floor room. I was the 5th floor overlooking Washington and State, but I could still hear quite a bit of noise from the street and ""L"". Didn't keep me from sleeping well though.",N
3647,"Recently stayed at the Drake Hotel (4 nights). The hotel itself was beautiful! The staff was very helpful and friendly. Beds were very comfortable as well. The only downside was the fact that the rooms are not standard queen/king beds. --They have rooms with two twin beds and one bathroom, but in order to have a room with two queen beds, you have to upgrade to a suite, which includes two bathrooms. Didn't get a chance to try the restaurant or tea, unfortunately. Overall, the stay was good.",N
3088,"Best room views in the whole city! I travel to Chicago often and this is the first place I look at to stay! The ""Lake View"" rooms are stunning! I can not stop using exclamation points when reviewing this hotel, that's how much I love it! I love the design of the the bathrooms with the window that opens to give more space to the whole room. I'm not a very demanding guest, so I don't make the staff jump through hoops and then complain about horrible service on here when I don't get my way. The location is great for the views, but not nessacerely for getting to public transportation. Cabs are always available, though if you have a car, expect to pay $50 a day for parking. The bar on the 30-something'ish floor is less to be desired. It's just a very dark room with a view over looking the city. This is Chicago! There are plenty of bars every where! I love this place! Have I mentioned that? :)",N
1024,"I enjoyed my stay at the Amalfi hotel. The only thing that I did not like about it was the lady who sits at the desk and greets/checks people in. She was kind of aloof and distant. Then later there was another woman at the front desk area who seemed the same way. That was weird to me. The hotel though was nice. They had some magazines,which I love, waiting in the room for me, some CDs, and a very nice robe to lounge around in. The bed was very nice. I could have fallen asleep in it seconds after my head hit the pillow.  Oh yea, and I cant forget the the happy hour. The drinks were not all watered down as I would have expected. They were pretty good and top notch. I'd stay here again for sure.",N
4656,"Eco-friendly. Cool staff (thanks, Conrad!). Well-decorated. Up-to-date room decor. Cute lobby. Walking distance. Free wi-fi! Prices weren't too bad. Comfy beds.",N
1586,"This is the fifth time that we have stayed in this hotel, we love it. The staff is amazing, the views are even better! There is no other place that one should stay when in the windy city.",N
5792,"Rooms are kinda old. Service is pretty mediocre, but they do have a pool, fridge in room, free parking, free shuttle and the location is pretty close to downtown and some good food near Univ Chicago. I'd go back and stay here again bc i got a super good deal on hotwire, but I wouldn't run back to pay full price ever.",N
831,"Silversmith has that old traditional feel, which is not my style so there was no wow factor as far as interior decor goes here.  The metal scrolls on each hotel room door was a nice touch though.  Everything else had that old wood ""creaky"" feeling to me.   Really enjoyed the staff.  They're all so nice. I happened to leave something at the desk during check in (where others were checking in too) and as I entered my room, my phone was ringing and it was the front desk letting me know I had forgotten it there.  Neat :) This hotel wins for - Location (though I'm sure any downtown hotel would get a point for this!) - Price - not bad for the location.  About $200 a night. - Staff - unbelievably nice.  The bellman even went on a stroll along the streets with me to show me some restaurants and favorite spots since it was my first time visiting Chicago. Parking fees are NOT cheap though.  I believe it was over $40 and I wasn't there for more than 24 hours. Yikes.",N
3856,"The hotel is centrally located.  That's been said.  And yes, there is some street noise, although I didn't get much hallway noise.  But I haven't been to a hotel yet, in a big city, that didn't have some noise.  That said; check-in was efficient and easy.  The bags were taken to our room while we went into the bar to pay for a very overpriced drink.  I mean, we ordered an Irish coffee and got charged $5.00 for the cup of coffee and then $6.00 for the shot...anyway...it is a hotel bar.   Up to the room, nicely appointed.  The bathroom is large with a beautiful shower (we were in a double queen room - our shower had only one head, our friends were in a Tranquil King Suite- they had like water coming from every direction) - nice comfy robes to wear too.  The hair-dryer was feeble...but eventually did the job.   The biggest problem with the hotel is the inconsistency. The first night the maid turned down the beds and pulled the shades, but neglected to pull the blackout shades; an important feature when you are in an east facing room...and we didn't know to do it ourselves.  The second night, they were pulled, but the maid threw the pillows on the chair next to them so there was a nice crack for that sun to peek through, right into my friends eyes.   A nice touch is that they give you coupons for a made to order breakfast in their downstairs restaurant - valued at $15.00.  So in the morning we went downstairs for breakfast...it was busy...we waited...once we sat...we waited...and waited...can someone PLEASE bring us some coffee???? Oh, sure...we waited...and waited...can we say, the service was slow?  Yes, yes we can.  The food was mostly good; again a couple of missteps and inconsistencies; I assume the kitchen makes their poached eggs in advance, using the method of putting the egg into an ice bath to hold it until service and then putting it into hot water to warm and finish cooking; it's an important step, that putting it back into hot water; when it's not done, the egg is a cold as ice.  As was the eggs on my friend's Eggs Benedict. However, the poached eggs on my other friends plate were hot. This was, however, something that was quickly corrected.  The second morning was no better than the first on service...it was slow, and worse, it's like they are ignoring you.  They don't even make eye contact.  That morning I ordered the Biscuits and Gravy...let me say this...clearly...DON'T...it's not Biscuits and Gravy, it's a biscuit in some white stuff with some slices of sausage and mushrooms...that's just not right.   I do want to give a shout out to TJ and the guy with the Tats, (sorry can't remember your name) you guys were great! LindySez: It's a nice place to stay, central to many sites, comfortable, and the food is good...just don't expect it any time soon.",N
5241,"Like someone else said, don't expect frills here -- Best Western Grant Park Hotel is for the budget-minded (like me). Good downtown location at the South Loop, and Bears games at Soldier Field are just a short walk away. (My boyfriend likes booking here for that very reason.) My room was comfortable (booked a standard room at http://www.getaroom.com)  and I was pleased with the service I received.",Y
1326,"I have to say I'm oddly fascinated by hotel bars.   I've never stayed at this hotel but always find a way to visit the Ritz  in whatever city I can.  My favorite thing to do is sit at the bar and order a Kir royal while I read the New York times and discuss current events with the bartender.  The Ritz here in Chicago is not bad- the lobby is large and spacious with a beautiful fountain which nicely drowns out the noise of your neighbor so you can relax.  The bar is located in the open atrium portion of the building so you get plenty of natural light which is fantastic.  The service, as you may have guessed-this is the Ritz, is exceptional.  The only reason I didn't give it 4 stars is because I've been to the Ritz in New York and it is my favorite.  Take yourself there on a Sunday afternoon and relax...",N
4123,"I booked on Hotwire for $80/night, and for that price I don't think one could do much better. We lucked out and were on the 33rd floor with a great view out the window. The room is oddly laid out, with a desk facing away from the window along the back of the bed - unconventional, but a cool way to create two spaces in a small-ish downtown hotel room. Didn't have any issues with cleanliness like some people report. Yeah, $13 for internet is a drag, but if I'm staying in a 4-star hotel right downtown, that's kind of to be expected.",N
1851,"W.  Whatever. What happened to the luxury that was the ""W""? I haven't given up on the W brand, but I probably will not be staying at the W Chicago City Center again. Here's why:   1. Rooms are old, small, and run-down. 2. Whiskey Blue was an all-around disappointment 3. Did I mention the rooms? (Not good).",N
4505,I spent New Year's Eve here and had a spectacular time! First the bar in the lobby had some great drinks. The empire room didn't have anything going on so my date and I went in and talked and slow danced and then went for more drinks. We didn't make reservations for dinner so had dinner at the Lockwood. Great service. My food was okay and my date's was phnomenal! He took me on a tour of the place and told me about some of the history. And of course the lobby is breathtaking. I'm not so sure why so many people are unhappy with their rooms because there's so much to do outside of the room - how much time do you really spend in there? We spent about 5 hours total between getting ready and having breakfast and a catchin a few zzzzz's. The bed was sooo comfortable! And the showers get really hot and have good water pressure. It was enough room for two people to relax and not feel cramped. My only gripe is that we ordered some room service and we paid $40 for 4 half sized diet cokes on ice. And heads up! Any room service you order there is a fee and a tip added on for you.... I caught myself tipping my breakfast guy $5+. Had I done that He would have gotten over $12 for rolling our cart up to our room..... Breakfast was good but not $50 good.,N
2577,"My friend Maryanna just got a job promoting, here I am being a good friend, I said I would come.  I'm bringing my roommate's sister Kara.   I never been to Victor Hotel before but I knew the area since I been to other restaurants/lounges. I don't recall hearing about a hotel?  I was thinking who would build a hotel over here in an industrial area?  c'mon this got to be a mistake. Kara and I are in a cab, fast driver, both of us seriously thought about wearing seatbelt.  I'm getting little scared because we saw dozens of people with golf clubs out on the street? What the?? We go inside, holy cow.  Talk about fancy! Red colors everywhere, nice chairs, and very cozy.  But where is everyone? Maryanna!!!!! You said show up at 8pm so here we are whole two of us here with 3 other people.  Maryanna, if you are going to promote your stuff? You have to be here huh?  We stuck around because you said you be right over soon as you are done with Madonna concert. Free drinks, heck yeah...  I didn't eat before I came, in an empty stomach and I always get in trouble. I drink little more than I should when they offer free drinks as well.  Sure enough. Within one hour, I drank down 4 or 5 vodka and cranberry.  I was feeling it for sure. Okay, here comes more people now but no Maryanna yet.  Its 9:45pm place is starting to pick up.  This place use to be a meat factory! You can see little rooms for VIP's and huge refrigerator doors.  Ceiling is high as four 6'ft person stacked up together.  They also have bottle service but no one sat down until 11pm.  Bottle service prices are around $125 - $250 (drink menu) and they have sushi and cheese plate. I also met Greg S. and Rohit, two other Yelp members, very nice guys.   I get back home at 3am.  What was I thinking going out getting drunk during the weekday? I'm getting too old for this. I get to work, feeling still drunk.  I should have called in sick. I send my boss a message.  ""I'm not feeling so well""   I tried to go use the bathroom at work but it was so disgusting.  I wasn't going to puke at work bathroom or even thinking about hugging the toilet.  So I needed a plan! Good excuse to go home ASAP because I'm going to burst any minute. Me: I'm having a bad stomach ache; I think it's something I ate last night. Boss: You okay? Do you want me to go get you something from Walgreen? Me: (oh shit, she is going to help me out, quick! think of something drastic to say).  Umm I don't know, it's little personal thing you know. Boss:  Are you having cramps? Is it that time of the month?  Funny she makes jokes. Me:  hahaha, I'm laughing but I said no, I told her I have the D'word, (too embarrassed to say it) but I couldn't think of any other excuse.  I didn't want to tell her I drank too much last night and don't want to be lectured about ""responsibility"" Boss: okay go home, feel better. I take few magazines from work and put it in my bag to read over the weekend.  Tell my coworkers I'm leaving for the day. I told them I made up an excuse to our boss. Saying I had diarrhea.   Coworker:  GEORGE GOT DIARRHEA! Me: damn dude, no need to yell it out so loud so everyone can hear, I don't have diarrhea; I'm going to puke so I'm going home to do it. I need some bread, soup, anything. So I walk over to Cosi to get some bread and soup before I catch a cab to go home ASAP.  I hurry over and get a piece of free bread and start chewing on it quickly as I can than ordered chicken noodle soup to go.  I'm desperately trying to make this transaction quickly as possible and hurry to get in the cab.   Two ladies asking me bunch of questions about all sorts. I give them brief answers and walk outside to flag down a cab.  They follow me outside start talking to me again.  C'mon... cab!  (I'm really not in the mood to talk). I have a piece of bread in my mouth, holding the soup with my right hand, messenger bag on my shoulder, cellphone in my other hand.  These ladies keeps on talking to me, I don't have a free hand to open the cab door so I put doggy bag with soup inside my messenger bag (dumb ass, you know its going to spill) but I wasn't thinking straight okay?   I'm free from the ladies, I get in the cab. Going home finally.  I'm going to puke, dizzy, spinning. Told Mr. Cab driver to hurry! LaSalle and Maple! Okay, I'm home; damn soup did spill in my bag.  My ass is hot from the soup and I open up my bag. Holy shit, look like a fish tank with soup chunks floating everywhere.  Damn it, I don't have time for this. All the magazines are drenched; I throw my bag in the kitchen sink.  I head over to the bathroom.   I'm ready to puke now.  I hover around the toilet for 30 minutes. I don't need to puke any more, puke sensation is gone.   I had to deal with this entire ordeal for nothing?  I cleaned up my bag, dumped rest of the soup that didn't spill in to a bowl.  I ate it and went to sleep for next 8 hours.",N
1794,"Hotel Allegro was recently one of the featured spots on Jetsetter (http://jettsetter.com, a discount travel site featuring high end hotels) and was available for a weekend when I was planning on being in Chicago for a friend's wedding. We got a fantastic rate and I am probably being more forgiving than other travelers may be based on the fantastic deal that we received. The hotel is located in the Loop, Chicago's main business district. As a one time Chicagoan, this location worked great for me, but other people may find that a property off the Magnificant Mile is more ideal. Upon check in, we were given complimentary drink vouchers because we had missed their nightly complimentary wine happy hour in the lobby. Our room had a very retro feel and was clean, but was also very small. Most of the room was occupied by the very comfortable king bed. We had some small issues with both the safe and our AC, but the hotel sent people up very quickly to help with both and they were easily resolved. I would absolutely recommend this hotel, but only to people traveling for business, single travelers,  or those who plan on spending very little time in their rooms.",N
3975,"My sister and I stayed at the Congress Hotel on June 8th, I liked it alot. The decor was beautiful we took pictures in the lobby. We had a drink at the bar which had very nice workers. Check in was easy. Our windows didn't face the park but we only slept there. The room was nice and cool and I loved the pillows. The decor was nice. And you couldn't hear people walking and talking in the hallways or in the next room like you can in alot of other hotels. We ate dinner in one of the inhouse restaurants it was pretty good. The only downside was the restaurant in the lobby that only serves breakfast, skip it, we waited almost 40 minutes for eggs, and my sister said the bacon tasted funny. There where lots of people going to the bathroom in the lobby. Since there are bathrooms in the rooms I guess alot of people come in off the street. Not cool. Yes, I would stay at the Congress Plaza again with or without the ghost.",N
2638,"Me? An A-list celeb? That's how I felt when I stayed at the James. From the doorman greeting you to finding a cookie on your bed, these small details make you feel special and at home. The hotel is small but has everything you need, including a great location only steps away from terrific restaurants and excellent shopping on Michigan Av. As for the accommodations, my room included a king size bed, a bar, living room area, 2 flat screen tvs, 2 iPod stations/radios, and a gorgeous bathroom. The James strikes a unique balance between modern function and artsy aesthetic that made my stay feel unique and personal. It's a great choice for business travel, a romantic getaway, or a weekend to explore the city.",N
